#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  pm_avg[f,4]/   Ksigcc1[f,5]/   pwiaXsec_theory[f,6]/    fsiXsec_theory[f,7]/   red_pwiaXsec_theory[f,8]/    red_fsiXsec_theory[f,9]/   setting[s,10]/
5   20   45.000000   0.780000   0.779751   6278.587183  4.330426920000e-09   4.330426920000e-09    6.897135922115e-13   6.897135922115e-13   750_set2
5   20   45.000000   0.780000   0.779695   6273.749217  4.323184490000e-09   4.323184490000e-09    6.890910587062e-13   6.890910587062e-13   750_set3
5   21   45.000000   0.820000   0.818298   4646.867163  2.177806340000e-09   2.177806340000e-09    4.686611998166e-13   4.686611998166e-13   580_set1
5   21   45.000000   0.820000   0.818217   4649.200788  2.178076190000e-09   2.178076190000e-09    4.684840017282e-13   4.684840017282e-13   580_set2
5   21   45.000000   0.820000   0.819223   6079.539990  2.793186580000e-09   2.793186580000e-09    4.594404485528e-13   4.594404485528e-13   750_set1
5   21   45.000000   0.820000   0.819166   6079.870431  2.788457790000e-09   2.788457790000e-09    4.586376998730e-13   4.586376998730e-13   750_set3
5   21   45.000000   0.820000   0.819291   6084.293115  2.786798640000e-09   2.786798640000e-09    4.580316213119e-13   4.580316213119e-13   750_set2
5   22   45.000000   0.860000   0.858070   4510.613968  1.392218980000e-09   1.392218980000e-09    3.086539858824e-13   3.086539858824e-13   580_set2
5   22   45.000000   0.860000   0.858093   4499.579631  1.392237960000e-09   1.392237960000e-09    3.094151174497e-13   3.094151174497e-13   580_set1
5   22   45.000000   0.860000   0.858827   5902.898738  1.783100310000e-09   1.783100310000e-09    3.020719800801e-13   3.020719800801e-13   750_set1
5   22   45.000000   0.860000   0.858980   5894.443012  1.782099130000e-09   1.782099130000e-09    3.023354583922e-13   3.023354583922e-13   750_set2
5   22   45.000000   0.860000   0.858933   5895.058605  1.779417040000e-09   1.779417040000e-09    3.018489143587e-13   3.018489143587e-13   750_set3
5   23   45.000000   0.900000   0.897811   4380.016126  8.894866330000e-10   8.894866330000e-10    2.030783922735e-13   2.030783922735e-13   580_set1
5   23   45.000000   0.900000   0.897966   4385.473648  8.887639850000e-10   8.887639850000e-10    2.026608882727e-13   2.026608882727e-13   580_set2
5   23   45.000000   0.900000   0.898547   5718.755138  1.134738560000e-09   1.134738560000e-09    1.984240507973e-13   1.984240507973e-13   750_set1
5   23   45.000000   0.900000   0.898552   5721.338439  1.136271520000e-09   1.136271520000e-09    1.986023955958e-13   1.986023955958e-13   750_set2
5   23   45.000000   0.900000   0.898556   5718.384829  1.135548460000e-09   1.135548460000e-09    1.985785311687e-13   1.985785311687e-13   750_set3
5   24   45.000000   0.940000   0.937651   4293.372879  5.684765060000e-10   5.684765060000e-10    1.324079044661e-13   1.324079044661e-13   580_set2
5   24   45.000000   0.940000   0.937451   4283.804743  5.668589150000e-10   5.668589150000e-10    1.323260393523e-13   1.323260393523e-13   580_set1
5   24   45.000000   0.940000   0.938290   5550.137289  7.194912760000e-10   7.194912760000e-10    1.296348610017e-13   1.296348610017e-13   750_set3
5   24   45.000000   0.940000   0.938344   5550.325013  7.193888890000e-10   7.193888890000e-10    1.296120294424e-13   1.296120294424e-13   750_set1
5   24   45.000000   0.940000   0.938264   5549.297006  7.177544760000e-10   7.177544760000e-10    1.293415139294e-13   1.293415139294e-13   750_set2
5   25   45.000000   0.980000   0.977282   4188.888706  3.622745860000e-10   3.622745860000e-10    8.648465295368e-14   8.648465295368e-14   580_set2
5   25   45.000000   0.980000   0.977308   4196.576752  3.616522010000e-10   3.616522010000e-10    8.617790698756e-14   8.617790698756e-14   580_set1
5   25   45.000000   0.980000   0.977917   5391.886394  4.525894470000e-10   4.525894470000e-10    8.393898052148e-14   8.393898052148e-14   750_set2
5   25   45.000000   0.980000   0.978081   5387.522605  4.524270770000e-10   4.524270770000e-10    8.397683131392e-14   8.397683131392e-14   750_set3
